,Epochs,Train loss,Valid loss,Train acc,Valid acc
0,1,0.9550438998790269,0.8983630614895974,56.66131591796875,62.58064270019531
1,2,0.8559958278463128,0.880289743023534,63.04173278808594,60.64516067504883
2,3,0.805260127658446,0.8224776187250691,64.48635864257812,61.935482025146484
3,4,0.7666596289048417,0.8131462312513782,66.85393524169922,60.0
4,5,0.7419088854070268,0.7636468406646483,67.97753143310547,64.51612854003906
5,6,0.7025310137872711,0.7722201947242983,70.1845932006836,67.74193572998047
6,7,0.6847341371577585,0.7264137256530023,71.2279281616211,67.09677124023438
7,8,0.6508261549912907,0.7054145824524665,73.11396789550781,70.96774291992188
8,9,0.6039363703605259,0.716424403267522,75.0,72.25806427001953
9,10,0.5669930074513437,0.6408111072355701,77.04654693603516,74.83870697021484
10,11,0.512040495776824,0.6115122645132003,78.57142639160156,76.1290283203125
11,12,0.48044830670708827,0.6402972602075147,80.97913360595703,75.48387145996094
12,13,0.43531531506901183,0.6389432391812725,83.34671020507812,77.41935729980469
13,14,0.39414311354653986,0.6154310128381175,85.07222747802734,79.3548355102539
14,15,0.3534336021681276,0.6577692935543675,86.63723754882812,77.41935729980469
15,16,0.3231932436434453,0.6820959339218755,87.84109497070312,79.3548355102539
16,17,0.30305389390232856,0.5815123531126207,89.92777252197266,81.93548583984375
17,18,0.27792390434738146,0.7489823852815936,89.72712707519531,77.41935729980469
18,19,0.2732598486911045,0.6557518668713108,89.68699645996094,82.58064270019531
19,20,0.2455299101997149,0.7312495635401818,90.73033905029297,78.06451416015625
20,21,0.22423737461455945,0.6469930444994281,91.53290557861328,81.93548583984375
21,22,0.21911275616426912,0.7688598055993358,92.37560272216797,78.70967864990234
22,23,0.17111000344515995,0.7931344597570358,94.3418960571289,83.87096405029297
23,24,0.19203047258226294,0.7305500384299985,92.97753143310547,80.0
24,25,0.17845214758648345,0.7567729488495858,93.78009796142578,81.93548583984375
25,26,0.1769554964707713,0.8726648119188124,93.49919891357422,77.41935729980469
26,27,0.16428860114292387,0.7249328544062953,94.62279510498047,81.93548583984375
27,28,0.1477219874747875,0.7406756131879745,94.4622802734375,81.29032135009766
28,29,0.15027548473202781,0.767833218266887,94.98394775390625,83.2258071899414
29,30,0.12213225478536627,0.9300459208027009,95.54574584960938,81.29032135009766
